"words","term.freq","doc.freq"
"babbanû[excellent]aj",12,11
"patru[sword]n",14,10
"namarkû[be(come)-late]v",11,10
"urāsu[(a-foreman)]n",11,10
"kummaya[kummean]en",16,10
"qālu[silent]aj",10,10
"birate[1]gn",11,10
"kurbail[1]gn",11,10
"ṣahittu[wish]n",12,10
"malāhu[sailor]n",11,10
"zunnu[rain]n",12,10
"kâšu[delay]v",11,10
"habtu[robbed]aj",11,10
"šeleppāyu[(a-type-of-craftsman)]n",10,10
"maṭû[be(come)-little]v",10,10
"zakāru[speak]v",10,10
"našāqu[kiss]v",11,10
"uššu[foundation(s)]n",16,10
"karmu[heap]n",11,10
"hubullu[debt]n",14,10
"pīlu[limestone]n",18,10
"harṣu[broken-off]aj",11,10
"nappāhu[smith]n",10,10
"naquttu[critical-situation]n",11,10
"erēnu[cedar]n",15,10
"raʾābu[shake]v",10,10
"nergal-naṣir[1]pn",10,10
"kuzippu[cloak]n",12,10
"ša-aššur-dubbu[1]pn",10,10
"gabbu-ana-aššur[1]pn",10,10
"aššur-alik-pani[1]pn",10,10
"mazamua[1]gn",10,10
"madaya[mede]en",11,10
"dāmu[blood]n",16,10
"gabbaru[1]pn",10,10
"ahu-ilaʾi[1]pn",12,10
"ahu-nuri[1]pn",12,10
"šumma-ilu[1]pn",10,10
"dayyānu[judge]n",10,10
"bel-aplu-iddina[1]pn",21,10
"šumaya[1]pn",10,10
"didi[1]pn",11,10
"nabu-ahhe-iddina[1]pn",10,10
"aššur-naṣir[1]pn",16,10
"zababa-eriba[1]pn",11,10
"lemnu[bad]aj",11,10
"parṣu[office]n",12,10
"birīt[between]prp",14,10
"hūdu[happiness]n",12,10
"šappatu[(a-pottery-vessel)]n",12,10
"qatû[come-to-an-end]v",11,10
"milki-nuri[1]pn",11,10
"dalta[1]pn",12,10
"larakaya[larakean]en",10,10
"kudurru[1]pn",10,10
"agannû[these]dp",12,10
"lanše[1]pn",10,10
"hamû[trust]v",10,10
"tabalu[tabal]gn",9,9
"nabu-šezibanni[1]pn",9,9
"rīqu[empty]aj",9,9
"etku[alert]aj",10,9
"lišānu[tongue]n",9,9
"dalāhu[disturb]v",9,9
"šawiru[ring]n",12,9
"kaqqadanu[1]pn",9,9
"kappu[hand]n",11,9
"šalimtu[well-being]n",9,9
"biātu[spend-the-night]v",10,9
"paššuru[table]n",11,9
"pūtuhhu[responsibility]n",11,9
"adia[1]gn",9,9
"hirītu[ditch]n",14,9
"aššur-šumu-kaʾʾin[1]pn",11,9
"nēšu[lion]n",12,9
"tibku[layer]n",10,9
"arbaya[arab]en",14,9
"hindanu[1]gn",14,9
"šarru-nuri[1]pn",9,9
"yāʾu[my]pp",10,9
"bab-bitqi[1]gn",12,9
"karmu[delayed]aj",9,9
"qablu[plantation-(of-trees)]n",10,9
"issete[1]gn",10,9
"šikaru[beer]n",11,9
"mardi[1]pn",11,9
"šahāṭu[tear-away]v",10,9
"kibsu[track]n",10,9
"tariba-issar[1]pn",9,9
"hesû[cover-up]v",9,9
"ṣāltu[combat]n",10,9
"kakardinnu[victualler]n",10,9
"kanīku[sealed-document]n",12,9
"adakanni[until-now]av",9,9
"remutu[1]pn",9,9
"esēpu[gather-together]v",11,9
"paʾāṣu[break-up]v",10,9
"marqasa[1]gn",9,9
"bel-iqbi[1]pn",9,9
"pazāru[hide-o.s.]v",10,9
"ša-bēt-kūdini[mule-stable-man]n",12,9
"gurraya[gurrean]en",10,9
"ariaza[1]pn",9,9
"luqu[1]pn",10,9
"taklu[reliable]aj",9,9
"adad-isseʾa[1]pn",9,9
"narkabtu[chariot]n",12,9
"epinnu[(seed)-plough]n",11,9
"ṣiātu[distant-time]n",9,9
"ubru-issar[1]pn",9,9
"nabu-ašared[1]pn",9,9
"sangi-issar[1]pn",12,9
"zar-issar[1]pn",9,9
"šibšu[(an-agricultural-tax)]n",10,9
"marduk-zeru-ibni[1]pn",10,9
"ahu-iddina[1]pn",11,9
"eriba-adad[1]pn",10,9
"edu-šallim[1]pn",14,9
"aqru[1]pn",9,9
"urdu-nanaya[1]pn",9,9
"nēmelu[profit]n",10,9
"hassu[clever]aj",10,9
"šipṭu[judgement]n",10,9
"akkadi[akkad]gn",9,9
"aššur-ahu-iddina[esarhaddon]pn",9,9
"ša-rēš-šarri[royal-eunuch]n",10,9
"isqu[lot]n",11,9
"salamanu[1]pn",9,9
"bit-yakin[1]gn",12,9
"šanû[be(come)-different]v",10,9
"akkāʾi[how?]qp",10,9
"ayakku[eanna]tn",10,9
"libbū[belonging-to]av",11,9
"pašāru[release]v",8,8
"urukaya[urukean]en",11,8
"râmu[love]v",10,8
"aššur-reši-išši[1]pn",8,8
"marāṣu[be(come)-ill]v",8,8
"nēhu[calm]aj",9,8
"marduk-remanni[1]pn",9,8
"bādu[evening]n",8,8
"raksu[bound]aj",8,8
"darrû[sacrificial-sheep]n",11,8
"raṣpu[built]aj",11,8
"anu[1]dn",9,8
"ahullâ[on-the-other-bank]av",8,8
"marduk-šumu-iddina[1]pn",8,8
"ziqpu[shoot]n",12,8
"nību[naming]n",9,8
"saʾilu[1]pn",10,8
"ginû[regular-contribution-(to-temple)]n",8,8
"dīru[intercalation]n",9,8
"malû[full]aj",8,8
"makû[destitute]aj",9,8
"ṣil-bel[1]pn",9,8
"adad-ibni[1]pn",10,8
"mūlû[height]n",14,8
"lasāmu[run]v",11,8
"rammû[released]aj",9,8
"nabu-deʾiq[1]pn",8,8
"tillu[appendage]n",8,8
"isana[1]gn",10,8
"tabālu[take-away]v",11,8
"arkītu[later]av",10,8
"bit-zamani[1]gn",8,8
"mar-issar[1]pn",10,8
"bēltu[lady]n",12,8
"zabban[1]gn",8,8
"kalhaya[1]en",8,8
"battatayya[individually]av",9,8
"qurdi-issar[1]pn",8,8
"māhiṣu[beater]n",14,8
"šeʾu[barley]n",8,8
"mušallim-issar[1]pn",10,8
"kurru[tanning-fluid]n",8,8
"mannu-ki-ahi[1]pn",8,8
"zazi[1]pn",9,8
"šalāšiu[third]nu",8,8
"ṣalam-ahhe[1]pn",11,8
"bel-naṣir[1]pn",11,8
"qurdi-adad[1]pn",8,8
"urdu-ahhešu[1]pn",8,8
"nabu-šar-ahhešu[1]pn",9,8
"nabu-eṭiranni[1]pn",8,8
"qalû[roast]v",8,8
"ēṣidu[reaper]n",9,8
"amurri[1]pn",8,8
"adad-naṣir[1]pn",9,8
"ahu-eriba[1]pn",8,8
"pirsu[weaned]aj",8,8
"mahīru[market-price]n",8,8
"rēštu[beginning]n",8,8
"išdu[foundation]n",8,8
"banba[1]pn",9,8
"bel-ereš[1]pn",8,8
"raṣappa[1]gn",9,8
"nabu-aplu-iddina[1]pn",8,8
"šamaš-kašid-ayabi[1]pn",8,8
"kummuhi[commagene]gn",8,8
"mahru[front]n",8,8
"naʾid-marduk[1]pn",16,8
"dilbat[venus]cn",16,8
"isinnu[festival]n",8,8
"dabābu[talk]n",10,8
"nadû[placed]aj",9,8
"nergal-šarrani[1]pn",8,8
"ezida[temple-of-nabu]tn",8,8
"šulmānu[greeting-gift]n",11,8
"rahṣu[confident]aj",9,8
"maškanu[place-of-putting]n",15,8
"šar-issar[1]pn",8,8
"nabu-sagibi[1]pn",8,8
"aššur-killanni[1]pn",8,8
"hiriṣayu[1]pn",8,8
"pan-issar-lamur[1]pn",8,8
"bulluṭu[1]pn",10,8
"zakiru[1]pn",10,8
"meturna[1]gn",11,8
"dur-bel-ilaʾi[1]gn",8,8
"kar-šarrukin[1]gn",10,8
"šina[two]nu",9,8
"kalbi-uku[1]pn",9,8
"samû[vacillate]v",8,8
"hepû[broken]aj",8,8
"šību[old-man]n",9,8
"miṣru[border]n",8,8
"išaru[straight]aj",8,8
"šamaš-bunaya[1]pn",10,8
"ištiššu[once]av",8,8
"bašû[existing]aj",8,8
"dilbat[1]gn",12,8
"aššur-šallimanni[1]pn",8,8
"niqittu[anxiety]n",7,7
"inurta-belu-uṣur[1]pn",7,7
"mazzizu[standing]n",7,7
"idu[arm]n",8,7
"lutu[1]pn",10,7
"annîša[here]av",9,7
"līdiš[day-after-tomorrow]av",7,7
"ēpišu[doer]n",7,7
"namarkû[late]aj",8,7
"hubuškia[1]gn",11,7
"qarbāte[(meaning-unknown)]av",8,7
"mesû[wash]v",7,7
"maškanu[tent]n",7,7
"ramāku[bathing]n",7,7
"šep-aššur[1]pn",11,7
"ṣimirra[1]gn",9,7
"maškuru[(inflatable)-animal-skin]n",7,7
"šazbussu[consignment]n",11,7
"tille[1]gn",7,7
"udû[tools]n",9,7
"pišannu[box]n",7,7
"išmanni-aššur[1]pn",7,7
"warkītu[posterity]n",7,7
"pahru[gathered]aj",7,7
"belu-lu-balaṭ[1]pn",13,7
"siʾimme[1]gn",7,7
"ša-šīmi[man-bought]n",9,7
"milku[advice]n",9,7
"tallaktu[walkway]n",8,7
"danību[victualler]n",10,7
"aššur-dur-paniya[1]pn",7,7
"kunnu[fixed]aj",7,7
"adad-aplu-iddina[1]pn",7,7
"ayyalu[ally]n",9,7
"maṭû[small]aj",7,7
"tarditu-aššur[1]pn",8,7
"mala[once]av",8,7
"nabu-hamatua[1]pn",11,7
"petû[open]aj",7,7
"bēru[double-hour]n",8,7
"šapru[sent]aj",7,7
"mannu-ki-ṣabi[1]pn",10,7
"šep-issar[1]pn",10,7
"šamaš-šallim[1]pn",9,7
"mušallim-aššur[1]pn",7,7
"aššur-matu-taqqin[1]pn",7,7
"riba-ahhe[1]pn",10,7
"agannu[bowl]n",7,7
"talpittu[application]n",9,7
"marduk-ereš[1]pn",9,7
"ušallu[(fields)-along-valley-bottom]n",8,7
"nabu-zeru-lešir[1]pn",10,7
"hašanu[1]pn",9,7
"zazaya[1]pn",7,7
"manzarne[1]pn",7,7
"nabu-ahu-ereš[1]pn",7,7
"gula[1]dn",7,7
"bel-lešir[1]pn",7,7
"nabu-nadin-ahi[1]pn",7,7
"ṣehhertu[young-girl]n",8,7
"mūṣû[exit]n",7,7
"nergal-ahu-uṣur[1]pn",8,7
"tabriu[fodder-crop]n",10,7
"giritu[1]pn",7,7
"lu-šakin[1]pn",8,7
"balṭi-aya[1]pn",8,7
"mannu-ki-issar-leʾi[1]pn",7,7
"ki-mama[1]pn",7,7
"urda-inurta[1]pn",8,7
"eršu[tilled]aj",7,7
"issar-nadin-apli[1]pn",9,7
"šarāqu[steal]v",8,7
"sīrāšû[brewer]n",8,7
"hanana[1]pn",10,7
"bel-naʾdi[1]pn",8,7
"mar-larim[1]pn",7,7
"ṣallaya[1]pn",7,7
"ṣalbatanu[mars]cn",14,7
"lapātu[touch]v",8,7
"kādu[guard]n",7,7
"marduk-šallim-ahhe[1]pn",7,7
"maṣṣaru[guard]n",7,7
"papāhu[cella]n",9,7
"kabsu[continuous]aj",7,7
"ibašši-ilani[1]pn",8,7
"marduk-naṣir[1]pn",7,7
"nabu-iqbi[1]pn",8,7
"uššuru[exempt]aj",8,7
"haṣānu[hug]v",9,7
"mītūtu[(state-of)-death]n",7,7
"nabu-raʾim-nišešu[1]pn",7,7
"mimmû[all]n",8,7
"šittu[remnant]n",7,7
"našpartu[message]n",7,7
"ṣabû[wished-for]aj",8,7
"ina-teši-eṭir[1]pn",7,7
"rabû[be(come)-big]v",9,7
"barsipaya[borsippean]en",9,7
"sakāpu[push-down]v",7,7
"marad[1]gn",13,7
"pālihu[one-who-reveres]n",7,7
"nippuraya[person-from-nippur]en",7,7
"nabu-šumu-lišir[1]pn",7,7
"illil-bani[1]pn",7,7
"salmu[peaceful]aj",6,6
"riāqu[be(come)-empty]v",9,6
"batiqtu[denunciation]n",6,6
"labiānu[neck(‑tendons)]n",8,6
"ašpa-bara[1]pn",7,6
"ellipi[1]gn",6,6
"larak[1]gn",8,6
"harīṣu[(city)-ditch]n",15,6
"perru[corps]n",7,6
"ṭiābu[be(come)-good]v",6,6
"gimir[cimmeria]gn",8,6
"šīpātu[wool]n",7,6
"nabu-eṭir-napšati[1]pn",7,6
"napāhu[blow]v",6,6
"bēdu[spending-the-night]aj",6,6
"umāmu[animal]n",7,6
"epertu[(baked)-brickwork]n",6,6
"puluhtu[fear(someness)]n",6,6
"talmusa[1]gn",7,6
"ziqqurratu[ziggurrat]n",6,6
"ūru[roof]n",6,6
"sêru[plaster]v",6,6
"reʾû[pasture]v",13,6
"erbû[locust]n",9,6
"rakābu[ride]v",6,6
"râbu[quake]v",7,6
"nawāru[be(come)-bright]v",6,6
"nubattu[evening-(rest)]n",6,6
"āliku[going]aj",6,6
"daʾāpu[push-(away)]v",6,6
"nabu-zer-ketti-lešir[1]pn",6,6
"ṣidunaya[sidonite]en",6,6
"sin-ašared[1]pn",6,6
"nishu[extract(ion)]n",6,6
"šabāšu[gather]v",7,6
"sin-iddina[1]pn",7,6
"pīqat[perhaps]av",6,6
"duri-adad[1]pn",7,6
"dumqu[goodness]n",7,6
"dur-yakin[1]gn",8,6
"ubānu[finger]n",7,6
"marduk-eriba[1]pn",7,6
"ahu-illika[1]pn",6,6
"šamaššammū[sesame]n",6,6
"taklak-ana-bel[1]pn",6,6
"ṭabi[1]pn",8,6
"mukinnu[witness]n",7,6
"radāpu[pursue]v",7,6
"quwe[1]gn",6,6
"zinnu[rain]n",6,6
"ša-lišāni[informer]n",6,6
"naṣib-il[1]pn",7,6
"gimiraya[cimmerian]en",9,6
"harru[water-channel]n",6,6
"nabu-ereš[1]pn",7,6
"galītu[deportation]n",7,6
"bis[then]av",7,6
"šurrû[begin]v",6,6
"hibiltu[wrongdoing]n",11,6
"tarāṣu[stretch-out]v",6,6
"marduk-iddina[1]pn",6,6
"ipparšidu[1]pn",6,6
"ah-abu[1]pn",7,6
"maṭi[minus]prp",6,6
"remut-ili[1]pn",9,6
"pulu[1]pn",6,6
"mutakkil-aššur[1]pn",6,6
"tabni[1]pn",6,6
"muribbānu[(a-function-or-prof.)]n",6,6
"mušezib-ilu[1]pn",7,6
"nergal-ašared[1]pn",6,6
"mayyālu[bed]n",9,6
"ša-huṭāri[staff-bearer]n",6,6
"nabu-reši-išši[1]pn",7,6
"issar-tariba[1]pn",6,6
"gabbe[1]pn",6,6
"dayan-kurbail[1]pn",8,6
"šamaš-ahu-iddina[1]pn",7,6
"eni-il[1]pn",6,6
"ilu-uṣur[1]pn",7,6
"sūqāqû[street]n",7,6
"aplu[heir]n",6,6
"šarāpu[burn]v",6,6
"urdu-mullissi[1]pn",8,6
"būru[cistern]n",9,6
"parakku[cult-dais]n",8,6
"bel-lamur[1]pn",6,6
"tarammu[grain-heap]n",7,6
"dilil-issar[1]pn",6,6
"šamaš-taklak[1]pn",6,6
"nabu-taqqinanni[1]pn",8,6
"ursūtu[(a-storeroom;-deposit)?]n",6,6
"mannu-ki-abi[1]pn",6,6
"atar-ili[1]pn",7,6
"nabu-zeru-ibni[1]pn",7,6
"silim-ili[1]pn",7,6
"nur-šamaš[1]pn",6,6
"mannu-ki-libbali[1]pn",6,6
"mannu-ki-harran[1]pn",6,6
"ša-pattūti[open-chariot]n",9,6
"sūqu[street]n",7,6
"bel-usati[1]pn",6,6
"akkullanu[1]pn",6,6
"ṭātu[bribe]n",6,6
"agû[tiara]n",8,6
"nušku[nusku]dn",7,6
"antalû[eclipse]n",9,6
"purussû[decision]n",6,6
"ridûtu[appropriation]n",7,6
"tāmartu[view(ing)]n",6,6
"zittu[share]n",8,6
"ea[1]dn",9,6
"naptanu[meal(-time)]n",6,6
"dalāpu[stir-up]v",6,6
"uraš[1]dn",7,6
"bakû[weep]v",10,6
"bīšu[bad]aj",7,6
"puhru[assembly]n",6,6
"ekur[1]tn",8,6
"puṭiše[1]pn",6,6
"gambulaya[gambulean]en",8,6
"damunaya[1]en",7,6
"kiš[1]gn",6,6
"ubaru[1]pn",7,6
"laṣ[1]dn",7,6
"aramu[aramean]en",8,6
"ṣubātu[textile]n",6,6
"ullû[that]dp",6,6
"ṣabû[wish-(for)]v",6,6
"šupālu[depression]n",6,6
"quwaya[from-quwe]en",7,5
"balāt[without]prp",7,5
"pīhātūtu[provincial-governorship]n",6,5
"kinattu[employee]n",5,5
"bel-nuri[1]pn",7,5
"šammu[plant(s)]n",5,5
"dur-ladini[1]gn",5,5
"maqarratu[bale-(of-straw)]n",8,5
"labāšu[clothe-o.s.]v",5,5
"namaddu[measurement]n",5,5
"ayyekamēni[anywhere]av",5,5
"ša-bēti-šanie[domestic-servant]n",5,5
"išātu[fire]n",7,5
"metunu[1]pn",5,5
"gišru[(wooden)-bar]n",12,5
"šuzubu[1]pn",6,5
"mašku[skin]n",5,5
"patiu[distant]aj",7,5
"mazzaztu[position]n",5,5
"šapālu[be(come)-deep]v",5,5
"upi[opis]gn",6,5
"šīmu[purchase-(price)]n",8,5
"halzi-atbar[1]gn",5,5
"akītu[(a-cultic-festival)]n",6,5
"enēšu[be(come)-weak]v",5,5
"šabirešu[1]gn",9,5
"kina[1]pn",6,5
"māhāzu[shrine]n",6,5
"rūqu[distant]aj",5,5
"naṣru[guarded]aj",6,5
"ukullû[provisions]n",5,5
"adian[1]gn",6,5
"ṣupat[1]gn",8,5
"šēpītu[foot]n",6,5
"qinītu[acquisition]n",5,5
"gabbu-amur[1]pn",5,5
"arbayu[1]pn",7,5
"ragāmu[shout]v",5,5
"salāʾu[deceive]v",5,5
"samerina[samaria]gn",5,5
"kippatu[circle]n",5,5
"šubria[1]gn",9,5
"hu-teššub[1]pn",9,5
"tarāṣu[be(come)-in-order]v",6,5
"arītu[shield]n",5,5
"bit-amukannaya[1]en",6,5
"aššur-zeru-ibni[1]pn",12,5
"tēlītu[produce]n",5,5
"zibbatu[tail]n",6,5
"eṣidītu[provisions]n",6,5
"kitru[help]n",7,5
"kâšim[to-you]ip",5,5
"elû[upper-part]n",5,5
"dāgilu[one-who-sees]n",7,5
"nergal-belu-uṣur[1]pn",5,5
"pattû[open(ed)]aj",6,5
"parsua[1]gn",5,5
"bit-hamban[1]gn",5,5
"galātu[tremble]v",6,5
"tamlīu[filling]n",5,5
"ubru-harran[1]pn",6,5
"abi-ramu[1]pn",6,5
"qiāpu[trust]v",7,5
"nâhu[rest]v",5,5
"liwītu[entourage]n",6,5
"zaqpu[erected]aj",5,5
"aplu[paid-off]aj",7,5
"aššur-iddin[1]pn",6,5
"urarṭayu[1]pn",6,5
"apli[1]pn",5,5
"ilumma-leʾi[1]pn",7,5
"bel-dan[1]pn",5,5
"seʾ-dala[1]pn",7,5
"ezbu[1]pn",5,5
"nabu-ahhe-šallim[1]pn",6,5
"kabti[1]pn",5,5
"bel-harran-isseʾa[1]pn",13,5
"šamaš-šezib[1]pn",5,5
"abūsu[storehouse]n",6,5
"samʾalla[zincirli]gn",5,5
"bel-šarru-ibni[1]pn",5,5
"kiqillanu[1]pn",7,5
"muqallil-kabti[1]pn",5,5
"banaya[1]pn",6,5
"gallulu[1]pn",5,5
"mannu-ki-nabu[1]pn",5,5
"kibtu[wheat]n",5,5
"šamaš-naṣir[1]pn",5,5
"sagibi[1]pn",6,5
"ahi-ṭalli[1]pn",5,5
"iqišaya[1]pn",5,5
"remut-ilani[1]pn",5,5
"hanni[1]pn",7,5
"barsipitu[1]pn",8,5
"sasinnu[bow-maker]n",5,5
"zabdi[1]pn",9,5
"arzezu[1]pn",5,5
"issaran-mesi[1]pn",5,5
"nabu-kenu-uṣur[1]pn",6,5
"yahuṭu[1]pn",6,5
"mardanu[1]pn",5,5
"ahi-yaqar[1]pn",5,5
"šamaš-eriba[1]pn",5,5
"ša-la-maše[1]pn",5,5
"šamaš-remanni[1]pn",5,5
"šīqu[irrigation]n",8,5
"aššur-abu-uṣur[1]pn",5,5
"nāru[musician]n",5,5
"sin-belu-uṣur[1]pn",5,5
"lu-balaṭ[1]pn",8,5
"šamaš-abuʾa[1]pn",6,5
"manṣuati[1]gn",5,5
"abdi[1]pn",5,5
"nabu-bani[1]pn",5,5
"nabu-bani-ahhe[1]pn",5,5
"nabu-tariṣ[1]pn",5,5
"ša-pān-dīnāni[president-of-the-court]n",5,5
"belu-lu-dari[1]pn",5,5
"adallal[1]pn",5,5
"nabu-iqiša[1]pn",7,5
"marduk-šarrani[1]pn",8,5
"mannu-ki-šarri[1]pn",5,5
"nabu-šallimšunu[1]pn",5,5
"zammāru[singer]n",5,5
"šamaš-ibni[1]pn",5,5
"kakkabu[star]n",7,5
"šihṭu[mercury]cn",6,5
"pišru[release]n",9,5
"rabû[set]v",5,5
"kurigalzu[1]pn",6,5
"dur-kurigalzu[1]gn",7,5
"ṭupšarrūtu[scribal-art]n",6,5
"rēmēnû[merciful]aj",6,5
"wīṣu[few]aj",5,5
"adānu[fixed-date]n",5,5
"sukkuku[deaf]aj",10,5
"šēlūʾutu[votive-gift]n",6,5
"makkūru[property]n",5,5
"hīpu[break]n",5,5
"šaplû[lower]aj",8,5
"būnu[goodness]n",5,5
"erbe[four]nu",5,5
"uqnû[lapis-lazuli]n",6,5
"qerītu[banquet]n",5,5
"qâlu[pay-attention]v",6,5
"aššur-hamatuʾa[1]pn",5,5
"nabu-šallim-ahhe[1]pn",12,5
"šumu-iddina[1]pn",6,5
"suluppu[date]n",5,5
"lit-ili[1]pn",5,5
"sinnišūtu[(rôle-of-female)]n",5,5
"ahu-leʾi[1]pn",6,5
"kunaya[1]pn",6,5
"šamaš-šarru-ibni[1]pn",5,5
"šullumu[1]pn",6,5
"puṭi-eše[1]pn",10,5
"zêru[hate]v",5,5
"ruʾuaya[1]en",6,5
"menimeni[somebody]xp",6,5
"ašarēdu[first-and-foremost]aj",5,5
"awīlūtu[humanity]n",8,5
"bit-bunakki[1]gn",10,5
"mahumaya[1]pn",6,5
"sapia[1]gn",6,5
"šallatu[booty]n",5,5
"qulālu[belittlement]n",5,5
"bēlūtu[rule]n",5,5
"mandētu[(result-of)-reconnoitring]n",6,5
"qiāpu[(en)trust]v",5,5
"ṭâbu[be(come)-good]v",5,5
"maṣû[corresponding]aj",5,5
"šīmtu[fate]n",5,5
"belet-ekalli[1]dn",5,5
"nadnu[given]aj",6,5
"šahāṭu[jump-(on)]v",5,5
"mat-tamti[sealand]gn",8,5
"šumu-iddin[1]pn",7,5
"kāṣiru[knotter]n",9,5
"bel-bulliṭ[1]pn",5,5
"mīnu[what]qp",5,5
"eršu[cultivated]aj",5,5
"duri-aššur[02]pn",5,5
"arumu[aramean]en",6,5
"hadû[be(come)-joyful]v",4,4
"ziqnu[beard]n",4,4
"mešēnu[sandal]n",4,4
"kišaya[from-kiš]en",4,4
"nippuraya[nippurean]en",4,4
"bārtu[rebellion]n",5,4
"zūku[infantry]n",4,4
"arraphaya[1]en",4,4
"lubda[1]gn",4,4
"eṣemtu[unit]n",6,4
"kuna[1]pn",5,4
"dur-balihaya[1]gn",5,4
"bit-amukanni[1]gn",4,4
"zikirtaya[zikirtean]en",6,4
"kummuhaya[from-commagene]en",7,4
"bêru[choose]v",6,4
"qirsu[cart]n",5,4
"šurīnu[(divine)-emblem]n",4,4
"agappu[wing]n",4,4
"zaba[zab]wn",4,4
"madaya[1]gn",5,4
"aššur-bessunu[1]pn",5,4
"kuluman[1]gn",5,4
"aššur-naʾdi[1]pn",4,4
"kar-šamaš[1]gn",5,4
"kidmuri[1]dn",5,4
"tastiati[1]gn",4,4
"milqia[1]gn",4,4
"rību[earthquake]n",8,4
"qattinu[(a-rural-class)]n",4,4
"sadru[placed-in-order]aj",4,4
"nâdu[praise]v",4,4
"niphu[(the-act-of)-lighting]n",4,4
"amar-ili[1]pn",4,4
"mardu[1]pn",5,4
"puhhu[exchange]v",4,4
"ilu-iqbi[1]pn",4,4
"izalla[1]gn",5,4
"kapāru[wipe-(clean)]v",6,4
"hardu[watchful]aj",4,4
"baqarru[1]gn",4,4
"adda-hati[1]pn",4,4
"hamat[hamath]gn",4,4
"bel-liqbi[1]pn",4,4
"nabu-uṣalla[1]pn",5,4
"ammi-leti[1]pn",4,4
"ishunnatu[bunch-of-grapes]n",5,4
"karku[rolled]aj",4,4
"tasi[1]gn",5,4
"ēdēnû[single]aj",7,4
"ilaʾi-bel[1]pn",5,4
"šihlu[second-rate]aj",4,4
"zari[1]pn",5,4
"ugāru[(communally-controlled)-meadow]n",4,4
"hašhūru[apple-(tree)]n",5,4
"kūṣu[coldness]n",4,4
"harpu[early]aj",4,4
"suhaya[from-suhu]en",5,4
"mannu-ki-aššur-leʾi[1]pn",4,4
"naṣibina[1]gn",5,4
"šuglû[deported]aj",4,4
"ša-ziqni[bearded-courtier]n",4,4
"eṣēru[draw]v",4,4
"rusa[1]pn",4,4
"dumāqū[jewellery]n",4,4
"nasāqu[choose]v",5,4
"nazāru[curse]v",5,4
"pašāhu[cool-down]v",4,4
"dalhu[troubled]aj",4,4
"mannaya[mannean]en",4,4
"ṣalmu[black]aj",4,4
"ayyiša[whither?]qp",5,4
"qarhu[ice]n",4,4
"kalû[held-(back)]aj",4,4
"targumannu[interpreter]n",4,4
"aššur-belu-udaʾʾan[1]pn",6,4
"ašlu[rope]n",5,4
"ada[1]pn",4,4
"edānu[fixed-time]n",4,4
"lānu[form]n",4,4
"bātiqu[informer]n",5,4
"sāmu[red]aj",4,4
"etāku[be-on-guard]v",4,4
"kar-nergal[1]gn",4,4
"bel-ahhe[1]pn",4,4
"išpallurtu[cross]n",6,4
"kudimmu[(a-herb)]n",4,4
"zabaya[1]pn",4,4
"habālu[be(come)-in-debt]v",4,4
"siparranu[1]pn",4,4
"dušû[untanned-leather]n",4,4
"aššur-šallim-ahhe[1]pn",6,4
"nabu-daʾʾinanni[1]pn",4,4
"tukulti-apil-ešarra[tiglath-pileser-iii]pn",4,4
"ubri[1]pn",4,4
"liphur-ilu[1]pn",4,4
"balaṭu-ereš[1]pn",6,4
"ahuʾa[1]pn",4,4
"sagab[1]pn",4,4
"bel-harran-belu-uṣur[1]pn",5,4
"abu-eriba[1]pn",6,4
"kapar-dannaya[1]gn",6,4
"susi[1]pn",7,4
"ṭab-šar-issar[1]pn",4,4
"il-amar[1]pn",7,4
"samaʾ[1]pn",4,4
"bel-harran-šarru-uṣur[1]pn",5,4
"bel-ahhešu[1]pn",7,4
"meʾisu[1]pn",4,4
"nabu-kuṣuranni[1]pn",4,4
"bel-ahu-uṣur[1]pn",7,4
"nabu-iddina[1]pn",4,4
"nuraya[1]pn",4,4
"usandû[bird-catcher]n",5,4
"šizbu[milk]n",5,4
"bel-abu-uṣur[1]pn",5,4
"bel-epuš[1]pn",4,4
"sin-ahu-iddina[1]pn",4,4
"ubru-ahhe[1]pn",5,4
"al-aššur[1]gn",6,4
"kandalanu[1]pn",4,4
"il-immi[1]pn",4,4
"sikkatu[peg]n",4,4
"nuranu[1]pn",4,4
"adad-kašir[1]pn",4,4
"ahu-ereš[1]pn",4,4
"kiṣirtu[envelope]n",4,4
"seʾ-nuri[1]pn",4,4
"giri-ṣapunu[1]pn",4,4
"attar-suri[1]pn",5,4
"marduk-ibni[1]pn",4,4
"parruṭu[1]pn",5,4
"bel-harran-duri[1]pn",4,4
"tardiya[1]pn",4,4
"saʾiru[1]pn",4,4
"mušallim-marduk[1]pn",5,4
"sin-remanni[1]pn",4,4
"qiti-muti[1]pn",4,4
"dadi-iqbi[1]pn",4,4
"kiṣir-issar[1]pn",6,4
"ah-abi[1]pn",4,4
"abunu[1]pn",4,4
"ahunu[1]pn",6,4
"issar-šumu-iddina[1]pn",4,4
"hursānu[river-ordeal]n",6,4
"šamaš-ereš[1]pn",4,4
"sinqi-issar[1]pn",4,4
"nergal-uballiṭ[1]pn",4,4
"qanû[reed]n",4,4
"eṣpu[doubled]aj",5,4
"azi-il[1]pn",4,4
"nabu-killanni[1]pn",4,4
"salamu[1]pn",5,4
"qurdi[1]pn",5,4
"hamru[holy-place-(of-adad;-assur)]n",4,4
"sugullu[herd]n",4,4
